"Zone","Rack No.","Bin No.","Location Code","Carton No.","Lot No.","Item No.","Description","UOM","Barcode","Qty","Timestamp"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0001","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:28:18.789Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0002","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:31:42.876Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0003","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:32:29.268Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0004","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:32:56.487Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0005","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:33:27.458Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0006","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:33:53.563Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0007","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:34:33.931Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0008","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:34:55.259Z"
"A","R1","Bin 1","A-R1-Bin1","CTN-A-0009","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:35:35.187Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0088","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:12:40.713Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0089","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:13:03.355Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0090","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:13:22.203Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0091","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:13:44.269Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0092","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:14:03.218Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0093","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:14:25.462Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0094","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:14:46.416Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0095","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:15:06.703Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0096","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:15:27.203Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0097","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:15:48.412Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0098","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:16:10.535Z"
"A","R1","Bin 10","A-R1-Bin10","CTN-A-0099","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T06:16:31.238Z"
"A","R1","Bin 11","A-R1-Bin11","CTN-A-0037","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T05:48:08.130Z"
"A","R1","Bin 11","A-R1-Bin11","CTN-A-0038","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T05:48:27.746Z"
"A","R1","Bin 11","A-R1-Bin11","CTN-A-0039","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T05:49:04.816Z"
"A","R1","Bin 11","A-R1-Bin11","CTN-A-0041","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T05:49:30.267Z"
"A","R1","Bin 11","A-R1-Bin11","CTN-A-0042","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-07T05:49:54.971Z"
"A","R1","Bin 11","A-R1-Bin11","CTN-A-0176","LOT-A-0002","PILLOW MOON","Pillow Moon","PCS","8907144406229","14","2026-09-12T06:44:06.167Z"
"A","R1","Bin 14","A-R1-Bin14","CTN-A-0029","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:50:29.146Z"
"A","R1","Bin 14","A-R1-Bin14","CTN-A-0030","LOT-A-0002","PILLOW DOCTOR","Cotton Pillow Doctor","PCS","8907144274507","12","2026-09-05T13:50:53.933Z"
